credit_score,annual_income,loan_amount,loan_term_months,num_credit_lines,debt_to_income,employment_years,missed_payments,has_mortgage,education_level,loan_purpose,num_dependents,approved
775,121311.0,19208,24,9,0.353,1.0,3,1,bachelor,car,3,1
489,90320.0,24054,12,17,0.356,8.0,2,1,high_school,vacation,4,1
543,117565.0,31477,24,9,,28.0,6,0,bachelor,medical,3,1
804,34937.0,31374,48,14,0.557,19.0,5,1,bachelor,car,0,1
430,26219.0,42220,24,5,0.595,19.0,9,1,bachelor,business,1,0
784,24399.0,4571,36,2,0.436,22.0,7,1,high_school,vacation,4,1
320,141733.0,20576,36,15,0.333,18.0,8,1,bachelor,home_improvement,4,0
466,35047.0,10680,48,16,0.128,11.0,6,1,bachelor,business,3,0
573,100693.0,26706,60,19,0.261,11.0,5,1,bachelor,home_improvement,0,1
687,115931.0,15318,36,1,0.365,9.0,7,0,bachelor,medical,4,1
615,42050.0,21659,48,12,0.6,18.0,8,1,bachelor,home_improvement,3,0
313,88551.0,6029,12,19,0.12,19.0,7,1,high_school,car,3,0
541,83666.0,49436,60,15,0.486,9.0,5,0,high_school,car,3,1
645,97016.0,3774,36,5,0.599,18.0,7,1,bachelor,medical,2,1
639,128135.0,17972,48,1,0.493,25.0,8,0,master,medical,2,1
391,68010.0,15048,48,11,0.472,23.0,5,1,phd,medical,0,0
666,53165.0,34372,12,9,0.192,8.0,5,1,master,car,1,1
754,26528.0,44188,12,7,0.052,28.0,1,0,high_school,business,2,1
727,135840.0,42133,60,2,0.174,28.0,8,0,bachelor,car,0,1
808,52136.0,15689,36,17,0.484,4.0,7,1,high_school,home_improvement,3,1
334,101008.0,17737,48,16,0.109,27.0,4,0,bachelor,medical,3,0
505,27076.0,17014,60,16,0.213,28.0,9,1,bachelor,vacation,1,0
380,138911.0,22818,60,14,0.359,28.0,2,0,bachelor,car,4,1
687,131625.0,34201,12,2,0.369,2.0,8,0,bachelor,vacation,2,1
301,65298.0,12144,48,19,0.349,22.0,9,0,master,business,2,0
689,69304.0,32001,24,3,0.589,18.0,6,0,bachelor,car,3,0
405,94360.0,1867,12,8,0.057,21.0,8,1,bachelor,business,0,0
776,84835.0,28182,48,19,0.318,26.0,6,0,bachelor,business,1,1
701,127424.0,15340,60,16,0.327,3.0,7,1,high_school,car,1,1
461,71911.0,12837,60,4,0.211,22.0,9,1,bachelor,car,4,0
501,118088.0,48059,36,8,0.339,13.0,4,0,high_school,business,4,0
569,30185.0,9787,24,1,0.42,5.0,9,1,bachelor,medical,0,0
570,65613.0,1393,12,4,0.42,12.0,9,0,master,car,0,0
755,15386.0,13056,36,7,0.098,27.0,5,1,bachelor,business,1,1
761,45020.0,44160,36,1,0.491,6.0,7,1,master,home_improvement,3,0
551,57678.0,45957,24,18,0.562,11.0,6,1,master,vacation,0,0
595,76394.0,29429,12,4,0.118,27.0,0,1,phd,home_improvement,0,1
637,130377.0,46909,12,14,0.279,19.0,9,1,bachelor,car,4,1
352,136716.0,32899,60,8,0.331,27.0,3,1,bachelor,car,4,0
516,70918.0,33221,12,18,0.124,27.0,7,1,bachelor,car,4,0
487,,21754,36,7,0.327,13.0,8,0,bachelor,car,3,1
679,119446.0,45389,60,3,0.164,12.0,5,0,phd,home_improvement,1,1
792,109702.0,21905,12,14,0.564,10.0,3,1,master,medical,3,1
340,120509.0,25083,24,12,0.297,5.0,1,1,bachelor,business,4,0
456,108608.0,42098,36,15,0.597,25.0,8,0,high_school,business,2,0
314,129310.0,30621,48,8,0.076,6.0,0,0,master,business,2,0
364,60802.0,21577,24,5,0.12,9.0,4,1,high_school,vacation,1,0
820,49622.0,37728,24,17,0.294,23.0,7,1,bachelor,car,4,1
643,124935.0,1663,12,10,0.531,25.0,3,0,high_school,home_improvement,4,1
428,132919.0,48301,60,11,0.355,14.0,0,1,master,home_improvement,3,1
771,148669.0,20216,60,16,0.453,8.0,3,0,master,home_improvement,1,1
362,84519.0,48259,36,16,0.283,2.0,4,0,phd,medical,3,0
438,59772.0,10265,12,4,0.072,4.0,4,1,phd,car,4,0
798,137431.0,5574,60,5,0.406,27.0,0,1,master,business,0,1
691,111090.0,23755,48,10,0.399,9.0,1,0,high_school,business,2,1
718,59871.0,32241,12,14,0.089,,5,1,high_school,car,4,1
588,41372.0,23676,12,9,0.144,2.0,9,0,bachelor,business,0,0
678,54080.0,22561,60,18,0.312,20.0,4,1,master,business,2,1
789,121242.0,25737,24,6,0.296,17.0,8,0,high_school,car,0,1
530,57722.0,24390,12,11,0.464,2.0,6,0,bachelor,home_improvement,1,0
340,44048.0,27076,24,17,0.263,6.0,4,1,master,vacation,0,0
327,100205.0,6546,36,9,0.415,29.0,8,1,bachelor,car,0,0
434,69711.0,22280,36,3,0.437,23.0,0,0,bachelor,business,1,0
500,35968.0,33953,60,16,0.405,20.0,2,0,bachelor,business,0,0
332,26292.0,22037,36,4,0.378,13.0,1,0,phd,vacation,2,0
347,94459.0,41576,60,15,0.493,15.0,6,1,bachelor,vacation,0,0
802,65192.0,29564,60,2,0.411,18.0,8,1,bachelor,vacation,0,1
706,99193.0,34597,24,17,0.509,3.0,1,1,bachelor,car,1,1
398,84165.0,20903,24,19,0.4,2.0,5,1,bachelor,home_improvement,2,0
846,82650.0,31806,36,16,0.137,2.0,1,1,bachelor,vacation,1,1
761,144858.0,47328,24,19,0.22,8.0,2,0,master,medical,0,1
304,116398.0,25392,12,17,0.232,3.0,0,0,master,home_improvement,1,0
517,112885.0,29087,48,4,0.102,21.0,5,0,high_school,vacation,1,1
802,115588.0,45288,12,18,0.431,18.0,1,0,bachelor,business,0,1
697,118356.0,45308,12,4,0.377,23.0,2,0,phd,car,0,1
692,,23293,60,3,0.374,27.0,5,1,bachelor,business,4,1
506,66672.0,11677,48,18,,10.0,5,1,bachelor,business,0,0
314,37113.0,13803,60,5,0.349,14.0,3,0,master,car,0,0
760,15694.0,47656,24,9,0.054,3.0,0,1,master,home_improvement,4,1
540,30588.0,47002,24,15,0.103,28.0,6,1,high_school,business,2,0
395,79373.0,2225,48,9,0.426,7.0,1,1,high_school,home_improvement,4,0
784,100603.0,6774,36,14,0.194,1.0,5,0,master,car,1,1
706,21704.0,14043,24,2,0.109,24.0,6,1,bachelor,vacation,4,1
530,55136.0,17163,12,18,0.231,17.0,1,0,bachelor,business,4,0
470,82507.0,3844,48,13,0.19,2.0,5,1,master,business,2,1
840,62361.0,8347,48,16,0.066,2.0,0,0,master,car,3,1
335,73847.0,21804,24,6,0.276,20.0,5,0,master,car,2,0
824,121359.0,37764,24,16,0.065,18.0,7,1,high_school,vacation,4,1
459,133906.0,28246,60,4,0.05,29.0,7,0,master,car,1,1
542,29677.0,43458,60,10,0.486,11.0,6,0,high_school,medical,1,0
385,42818.0,2688,12,19,0.223,23.0,3,1,high_school,medical,3,0
327,16868.0,48055,48,11,0.362,13.0,3,1,bachelor,car,0,0
639,98591.0,18251,36,5,0.214,25.0,4,0,phd,vacation,4,1
630,138962.0,13504,36,18,0.562,22.0,7,1,master,medical,0,1
805,82264.0,40720,48,3,0.451,26.0,3,1,phd,business,1,1
647,88168.0,28584,12,8,0.253,12.0,8,0,high_school,vacation,0,1
772,86939.0,45484,60,11,0.166,15.0,2,0,bachelor,car,2,1
530,30732.0,49531,60,19,0.126,16.0,8,1,high_school,medical,2,0
489,70244.0,39852,60,3,0.469,21.0,1,1,master,vacation,3,0
524,24340.0,14219,36,12,0.299,17.0,5,1,bachelor,business,0,0
684,37394.0,43972,36,15,0.178,12.0,4,0,phd,car,3,1
676,113557.0,25815,12,16,0.556,28.0,4,1,high_school,home_improvement,2,1
582,34159.0,49865,36,5,0.265,,5,0,master,medical,2,1
558,137366.0,25623,24,19,0.349,25.0,9,0,high_school,business,3,1
658,21212.0,37817,36,6,0.522,12.0,6,0,high_school,vacation,2,0
755,52405.0,4457,60,12,0.508,7.0,3,0,high_school,medical,0,1
710,145632.0,28855,12,19,0.401,6.0,3,0,bachelor,medical,4,1
617,92061.0,37258,48,9,0.539,7.0,8,1,bachelor,car,4,1
524,109296.0,16470,48,18,,16.0,3,0,bachelor,business,2,1
533,70186.0,49957,12,3,0.564,23.0,7,1,bachelor,medical,4,0
673,138145.0,46930,24,14,0.242,0.0,9,1,high_school,medical,4,1
771,25532.0,19281,48,5,0.268,2.0,0,1,bachelor,business,4,1
532,81540.0,12728,60,5,0.182,3.0,3,1,bachelor,vacation,2,1
412,118021.0,46680,48,4,0.51,18.0,1,0,phd,car,4,0
796,18271.0,39723,48,16,0.117,27.0,9,1,high_school,medical,3,1
741,15209.0,11162,60,13,0.245,1.0,4,0,high_school,business,3,1
567,34977.0,30272,36,8,0.055,28.0,1,1,high_school,home_improvement,4,1
809,124920.0,36488,24,16,0.377,10.0,6,1,bachelor,vacation,1,1
685,143156.0,44341,60,2,0.412,28.0,9,1,high_school,car,1,1
686,114588.0,12338,60,8,0.187,10.0,6,1,high_school,home_improvement,3,1
412,83684.0,23296,12,3,0.455,18.0,8,0,master,vacation,3,0
380,138862.0,12675,24,9,0.26,24.0,3,0,bachelor,medical,4,1
412,20607.0,25070,36,11,0.221,27.0,4,0,bachelor,car,2,0
301,109786.0,21080,60,1,0.576,1.0,2,1,bachelor,vacation,3,0
519,141406.0,48139,36,1,0.374,4.0,6,0,bachelor,vacation,4,0
524,22399.0,14936,60,8,0.189,18.0,4,0,bachelor,vacation,3,0
684,141812.0,11019,60,16,0.591,28.0,8,1,bachelor,vacation,3,1
702,113662.0,42182,12,10,0.263,8.0,6,1,high_school,home_improvement,4,1
429,48617.0,2746,48,2,0.406,6.0,3,0,master,car,4,0
352,117826.0,23768,24,16,0.448,25.0,6,1,master,medical,0,0
715,144851.0,9325,12,4,0.282,11.0,0,1,master,car,2,1
546,126077.0,45763,36,19,0.345,27.0,1,0,bachelor,home_improvement,0,1
738,65624.0,5486,60,9,0.182,18.0,2,0,phd,car,0,1
502,24628.0,17485,60,3,0.306,,4,1,master,home_improvement,0,0
483,146401.0,15328,24,11,0.221,27.0,4,1,high_school,home_improvement,0,1
422,53619.0,20112,12,8,0.351,17.0,6,0,high_school,home_improvement,0,0
700,22032.0,45001,12,7,0.418,20.0,8,1,master,home_improvement,3,0
593,53034.0,33280,36,1,0.388,8.0,9,1,master,vacation,0,0
579,117658.0,27576,12,8,0.477,1.0,8,1,bachelor,car,4,1
497,136123.0,43528,12,17,0.073,1.0,5,0,bachelor,business,2,1
810,101158.0,16702,48,11,0.093,14.0,6,0,bachelor,home_improvement,1,1
443,70264.0,22320,24,7,0.163,23.0,7,0,master,home_improvement,1,1
500,109120.0,19437,12,9,,15.0,3,0,high_school,car,3,1
423,62850.0,1193,36,14,0.49,27.0,6,0,bachelor,vacation,0,0
486,19722.0,26317,60,5,0.558,13.0,5,1,master,medical,4,0
625,32772.0,29482,12,18,0.2,18.0,7,0,bachelor,home_improvement,1,0
763,101105.0,20343,12,13,0.366,14.0,0,1,high_school,vacation,0,1
648,19576.0,30144,60,5,0.355,2.0,4,1,master,vacation,1,0
702,114404.0,12612,48,8,0.363,5.0,2,1,high_school,business,1,1
645,56476.0,20307,24,15,0.445,5.0,8,0,master,home_improvement,0,1
810,39154.0,20623,48,4,0.267,21.0,8,1,bachelor,vacation,2,1
446,32165.0,21249,36,1,0.422,20.0,2,1,master,business,2,0
447,29439.0,9229,12,6,0.484,19.0,9,1,bachelor,vacation,3,0
788,133211.0,27274,48,19,0.209,27.0,1,1,bachelor,business,4,1
637,59518.0,38334,24,12,0.57,8.0,4,1,master,business,0,0
772,,7595,36,7,0.335,10.0,3,0,master,business,1,1
450,52763.0,29602,48,13,0.453,3.0,6,0,high_school,vacation,2,0
714,131189.0,39377,12,7,0.451,13.0,7,1,phd,medical,4,1
597,125290.0,38876,24,9,0.361,12.0,3,1,bachelor,car,4,1
562,125814.0,35551,12,1,0.227,14.0,2,0,high_school,business,0,1
443,34464.0,43926,12,13,0.417,16.0,8,0,master,home_improvement,0,0
645,138980.0,25678,36,19,0.098,7.0,7,0,bachelor,car,0,1
301,57299.0,23214,24,1,0.59,10.0,6,1,bachelor,medical,2,0
603,46541.0,39599,60,19,0.151,23.0,7,0,bachelor,car,3,0
553,88545.0,33809,12,18,0.201,10.0,7,0,high_school,car,3,1
752,144188.0,44954,24,5,0.575,15.0,9,1,phd,medical,3,1
336,44765.0,28794,12,3,0.153,2.0,7,0,high_school,home_improvement,4,0
459,38769.0,23593,48,2,0.144,24.0,0,1,bachelor,business,4,1
308,35156.0,29864,48,10,0.492,22.0,3,0,high_school,vacation,2,0
532,88631.0,45329,24,6,0.188,14.0,9,0,master,home_improvement,0,1
398,52909.0,43636,36,19,0.102,12.0,6,1,high_school,home_improvement,0,0
507,84487.0,4689,60,17,0.175,6.0,5,1,bachelor,business,1,1
430,62655.0,41363,48,19,0.539,4.0,2,0,high_school,home_improvement,1,0
703,66786.0,15687,36,13,0.204,27.0,2,0,bachelor,home_improvement,1,1
451,83304.0,21381,60,17,0.432,11.0,3,1,high_school,car,4,0
353,118606.0,34093,48,18,0.267,2.0,9,1,bachelor,car,3,0
419,135938.0,24589,60,11,0.194,,5,1,bachelor,medical,2,1
719,95981.0,2120,12,13,0.129,25.0,0,0,high_school,medical,3,1
721,70107.0,17491,24,11,0.585,11.0,9,1,bachelor,medical,0,1
403,147232.0,44638,48,19,0.337,4.0,3,0,bachelor,vacation,1,1
553,102897.0,40062,48,10,0.113,18.0,8,1,bachelor,business,3,1
526,87577.0,6193,12,3,0.159,28.0,6,0,bachelor,vacation,0,1
411,119180.0,24608,48,6,0.274,18.0,5,0,phd,vacation,1,1
809,34924.0,16213,48,7,0.349,0.0,4,1,phd,medical,3,1
772,126193.0,49379,48,5,0.15,19.0,1,0,phd,business,3,1
398,16095.0,15230,48,9,0.203,29.0,1,0,high_school,vacation,3,0
452,119205.0,19423,48,10,0.481,24.0,5,0,high_school,car,1,0
637,29123.0,18187,36,14,0.28,,8,1,phd,vacation,4,1
462,60278.0,11040,48,11,0.051,,8,1,high_school,car,1,0
460,112911.0,1766,12,17,0.08,21.0,0,1,bachelor,vacation,2,1
697,66999.0,30949,48,11,0.292,5.0,6,1,bachelor,business,1,1
576,46153.0,47464,60,7,0.083,,6,0,phd,car,3,1
803,33344.0,4527,60,11,0.146,20.0,9,1,high_school,car,0,1
691,52656.0,12021,12,13,0.45,17.0,1,1,master,medical,0,1
434,16212.0,18872,36,19,0.314,20.0,9,1,bachelor,car,3,0
494,135385.0,37897,12,6,0.315,15.0,3,0,bachelor,vacation,4,1
700,93784.0,12758,36,2,0.379,10.0,7,0,master,vacation,4,1
332,113723.0,19757,24,14,0.484,9.0,5,0,high_school,medical,1,0
759,96144.0,26412,60,16,0.137,2.0,6,0,bachelor,home_improvement,1,1
769,46368.0,15312,60,7,0.145,25.0,9,0,bachelor,car,0,1
674,76160.0,23119,60,1,0.117,26.0,5,1,bachelor,car,3,1
321,25715.0,12804,36,2,0.565,17.0,8,0,master,car,3,0
337,73784.0,47545,12,9,0.368,11.0,9,1,master,vacation,1,0
529,144193.0,11983,36,18,0.101,13.0,9,0,bachelor,business,2,1
664,114644.0,30999,60,18,0.171,3.0,8,1,bachelor,business,1,1
737,41797.0,31557,60,18,0.449,9.0,5,0,phd,business,1,1
582,62573.0,40758,60,10,0.066,24.0,5,0,master,medical,4,1
326,91120.0,29788,60,8,0.449,6.0,8,0,bachelor,medical,1,0
525,29780.0,32950,24,8,0.551,15.0,9,0,high_school,vacation,1,0
576,52905.0,4983,60,2,0.081,25.0,8,0,bachelor,business,2,1
583,131049.0,4768,36,18,0.153,8.0,2,1,high_school,home_improvement,0,1
780,144651.0,2504,60,11,0.051,29.0,6,0,bachelor,car,0,1
752,48359.0,3450,48,11,0.11,2.0,2,1,high_school,business,1,1
815,81062.0,12236,24,19,0.389,1.0,3,0,master,home_improvement,3,1
846,88391.0,9002,60,11,0.075,24.0,8,0,master,car,1,1
491,58463.0,10891,48,10,0.284,5.0,9,1,bachelor,car,4,0
348,114596.0,39787,36,8,0.327,9.0,7,1,phd,medical,2,0
811,,14898,24,15,,3.0,5,1,bachelor,home_improvement,1,1
316,31571.0,11472,60,8,0.311,3.0,5,1,high_school,business,0,0
471,40104.0,16264,36,19,,9.0,7,0,master,business,1,0
519,23625.0,18691,48,1,0.209,9.0,1,0,master,vacation,2,0
457,54199.0,44487,24,3,0.42,12.0,4,1,bachelor,home_improvement,2,0
776,135725.0,33632,60,12,0.112,5.0,6,1,bachelor,car,3,1
345,46218.0,34743,36,16,0.177,6.0,2,1,high_school,medical,3,0
672,106916.0,44016,24,16,0.598,27.0,7,0,high_school,vacation,3,1
817,138182.0,14002,48,17,0.053,26.0,2,0,master,medical,1,1
398,35566.0,47981,60,16,0.134,25.0,3,0,high_school,car,0,0
336,48205.0,44386,24,9,0.514,4.0,9,1,phd,car,4,0
579,124084.0,29250,48,19,0.106,,9,1,bachelor,medical,0,1
648,44717.0,44388,48,1,0.069,29.0,5,1,phd,vacation,2,1
796,122292.0,22323,36,18,0.117,7.0,5,0,high_school,car,0,1
601,53562.0,4733,48,6,0.431,9.0,1,0,bachelor,business,1,1
480,35169.0,42319,48,6,0.596,11.0,1,1,high_school,business,3,0
398,36604.0,3223,12,12,0.375,16.0,2,1,master,business,0,0
415,104670.0,17868,48,3,0.118,15.0,2,0,bachelor,vacation,2,0
490,129605.0,35196,60,11,0.151,29.0,3,0,bachelor,vacation,2,1
552,,3080,24,6,0.346,0.0,3,0,master,home_improvement,4,1
460,146756.0,14776,60,14,0.444,3.0,3,1,high_school,home_improvement,0,1
555,143140.0,1695,60,18,0.415,7.0,9,1,high_school,business,1,1
622,,33969,36,16,0.366,26.0,9,1,bachelor,medical,2,1
427,126301.0,13049,12,13,0.592,23.0,2,0,bachelor,medical,4,0
317,23007.0,16628,12,1,0.159,5.0,0,0,master,business,2,0
622,129915.0,9265,60,6,0.145,20.0,8,0,bachelor,home_improvement,4,1
587,132419.0,25671,24,14,0.522,9.0,1,0,high_school,vacation,2,1
454,56787.0,13460,12,17,0.21,25.0,2,1,bachelor,medical,1,0
789,64582.0,4477,12,13,0.233,17.0,1,1,high_school,vacation,1,1
685,98629.0,3202,60,13,0.352,12.0,5,1,high_school,business,2,1
403,20782.0,49310,12,9,0.26,4.0,5,0,bachelor,vacation,3,0
692,81770.0,24874,36,6,0.208,11.0,0,0,master,medical,1,1
545,72645.0,48392,60,6,0.554,20.0,3,1,master,home_improvement,1,1
475,118509.0,42217,12,5,0.121,17.0,9,1,bachelor,medical,4,0
338,44204.0,12850,12,14,0.272,7.0,4,1,master,car,4,0
776,32152.0,40085,12,14,0.052,13.0,5,1,bachelor,vacation,0,1
837,105555.0,21809,60,4,0.494,14.0,4,1,high_school,vacation,0,1
707,34689.0,6350,24,2,0.143,25.0,2,1,bachelor,vacation,1,1
824,98251.0,3806,48,2,0.475,4.0,2,1,phd,business,1,1
805,121565.0,8163,12,17,0.132,4.0,2,0,high_school,business,2,1
335,53712.0,29832,48,10,,27.0,5,1,phd,medical,3,0
319,64632.0,1185,48,14,0.451,16.0,3,1,master,home_improvement,2,0
620,35478.0,41838,12,19,0.199,12.0,3,0,bachelor,car,1,1
811,37551.0,25718,12,17,0.223,16.0,2,1,bachelor,home_improvement,4,1
699,63068.0,12545,48,11,0.417,10.0,3,1,high_school,home_improvement,0,1
770,108608.0,26215,24,7,0.153,0.0,7,1,master,car,3,1
442,50561.0,29325,48,9,0.573,23.0,2,0,phd,business,4,0
391,148964.0,19458,24,14,0.154,12.0,9,1,phd,vacation,1,0
653,39395.0,17006,36,4,0.462,25.0,2,0,high_school,business,3,1
350,33756.0,29544,24,14,0.491,17.0,5,1,master,vacation,3,0
489,81333.0,33969,60,17,0.256,23.0,0,1,bachelor,vacation,0,1
424,128561.0,12284,12,19,0.136,28.0,9,1,master,business,3,0
449,43024.0,39478,36,17,0.141,27.0,5,0,bachelor,home_improvement,1,0
613,20947.0,28655,48,14,0.592,5.0,8,1,phd,vacation,0,0
641,142192.0,30143,24,13,0.449,12.0,2,1,bachelor,business,1,1
604,109238.0,16698,36,14,0.298,20.0,1,1,master,home_improvement,3,1
353,82428.0,35870,60,16,0.192,21.0,2,1,bachelor,car,1,0
743,78355.0,10102,24,15,0.06,19.0,2,1,bachelor,vacation,4,1
563,144958.0,2571,48,19,0.419,27.0,1,1,high_school,home_improvement,3,1
352,146637.0,38893,48,11,0.576,10.0,3,0,bachelor,vacation,2,0
304,33402.0,40465,24,12,0.109,18.0,7,0,bachelor,home_improvement,2,0
402,90851.0,22553,60,11,0.465,26.0,6,1,master,car,4,0
495,27834.0,19543,12,5,0.134,19.0,9,1,high_school,vacation,2,0
649,82850.0,29901,12,8,0.486,8.0,8,1,master,business,2,0
346,52180.0,15034,48,6,0.254,12.0,7,1,phd,home_improvement,0,0
568,149955.0,28120,60,16,0.442,14.0,6,0,master,car,1,1
669,124688.0,2329,48,12,0.559,23.0,5,1,bachelor,vacation,3,1
405,121520.0,42420,12,6,0.391,10.0,2,0,master,car,2,1
419,26695.0,26382,48,13,0.556,,9,1,bachelor,car,3,0
357,142135.0,4699,24,7,0.179,15.0,3,0,master,vacation,4,1
645,73481.0,39795,24,8,0.588,16.0,7,0,bachelor,vacation,2,0
773,88438.0,11667,60,12,0.53,4.0,1,1,high_school,home_improvement,0,1
416,126491.0,38591,12,2,0.109,21.0,5,1,bachelor,business,3,1
426,136844.0,43115,60,9,0.277,29.0,0,1,high_school,car,4,1
692,109910.0,24459,60,13,0.56,13.0,6,0,bachelor,vacation,0,1
357,71494.0,7959,12,17,0.093,14.0,3,0,bachelor,car,1,0
812,61978.0,30581,36,13,,8.0,0,1,bachelor,home_improvement,4,1
395,132845.0,47384,36,16,0.448,13.0,4,0,bachelor,home_improvement,0,0
417,145621.0,7210,48,1,0.068,9.0,4,1,phd,home_improvement,3,1
787,69672.0,13517,36,7,0.464,25.0,5,1,bachelor,business,0,1
536,76821.0,13620,24,13,0.249,21.0,7,1,bachelor,medical,4,1
571,98661.0,37744,60,14,0.187,12.0,3,1,high_school,medical,1,1
488,84224.0,23804,48,17,0.367,16.0,6,0,high_school,medical,1,0
746,104405.0,31568,60,16,0.349,0.0,3,0,high_school,business,4,1
546,69796.0,18991,12,15,0.531,13.0,1,0,high_school,business,3,0
375,143554.0,9912,36,17,0.422,11.0,7,1,bachelor,car,1,1
453,138777.0,33527,12,2,0.282,6.0,4,1,high_school,car,2,1
734,19023.0,31863,48,12,,2.0,9,1,bachelor,home_improvement,2,0
385,87959.0,45827,24,3,0.463,22.0,3,1,high_school,business,1,0
584,54218.0,34458,36,9,0.566,20.0,1,1,bachelor,medical,3,1
519,43460.0,21407,12,6,0.437,0.0,6,1,high_school,medical,3,0
368,139579.0,13344,36,6,0.349,26.0,4,1,high_school,car,3,0
346,79680.0,37205,60,7,0.255,29.0,8,1,bachelor,home_improvement,3,0
393,46017.0,3355,24,8,0.54,23.0,6,0,bachelor,home_improvement,3,0
752,107038.0,31893,36,3,0.486,12.0,8,0,high_school,vacation,0,1
503,,1749,24,15,0.092,24.0,9,0,high_school,business,1,0
517,48001.0,20435,60,6,0.435,21.0,9,0,high_school,medical,4,0
773,16391.0,46733,60,11,0.346,1.0,4,0,master,medical,2,1
731,124388.0,46615,12,3,0.107,8.0,5,0,bachelor,car,1,1
640,57215.0,39526,48,16,0.361,17.0,7,0,bachelor,car,2,1
588,94720.0,19088,12,6,0.156,21.0,9,0,bachelor,business,1,1
553,42114.0,45405,24,11,0.439,25.0,5,0,bachelor,car,1,0
656,128142.0,39842,12,8,0.203,3.0,3,1,bachelor,car,2,1
322,121206.0,47146,36,10,0.133,15.0,1,0,master,medical,3,0
821,60647.0,25403,12,10,0.095,29.0,5,1,master,business,2,1
399,57679.0,48297,48,3,0.32,5.0,8,0,bachelor,medical,2,0
479,15427.0,39042,48,14,0.16,19.0,7,0,bachelor,medical,2,0
522,144669.0,47775,24,19,0.52,26.0,2,1,high_school,car,3,1
741,81267.0,40177,60,9,0.052,28.0,4,1,bachelor,medical,1,1
624,15799.0,40056,48,13,0.514,2.0,5,1,high_school,business,4,0
815,70659.0,23713,24,9,0.337,27.0,6,0,master,car,4,1
315,22025.0,1885,48,12,0.557,10.0,1,0,bachelor,business,1,0
635,29481.0,34632,48,14,0.163,23.0,5,0,bachelor,home_improvement,2,1
557,40411.0,40685,60,5,0.106,28.0,1,0,bachelor,business,1,0
796,120928.0,12686,36,6,0.394,4.0,7,1,bachelor,business,0,1
459,138014.0,4054,24,13,0.439,0.0,6,1,high_school,vacation,1,1
774,66690.0,9977,48,13,0.255,7.0,1,0,master,business,0,1
679,67870.0,26032,48,6,0.058,18.0,3,1,master,medical,4,1
844,101928.0,49967,12,14,0.274,3.0,6,1,phd,medical,4,1
726,85765.0,9536,36,11,0.179,8.0,8,0,master,car,4,1
567,,16070,60,13,0.241,2.0,2,0,master,home_improvement,2,0
716,145417.0,17937,24,12,0.329,29.0,9,0,high_school,car,0,1
467,33799.0,22500,48,16,0.436,4.0,9,0,master,business,0,0
342,127051.0,41451,24,6,0.58,27.0,7,1,bachelor,business,0,0
584,144941.0,11011,60,9,0.129,15.0,8,1,high_school,medical,1,1
696,,49039,36,17,0.424,7.0,7,1,bachelor,business,2,0
311,107152.0,9896,12,16,0.178,5.0,3,1,bachelor,business,4,0
601,142219.0,30799,36,12,0.171,2.0,3,1,bachelor,medical,1,1
